*****************************
Basic coeficients
*****************************
Alpha, Cd
   12.00    ,     .000    ,   -.6400E-03,   -.1920E-02,   -.3200E-02,   -.5120E-02,   -.6400E-02,   -.9364E-02,   -.1033E-01,   -.1083E-01
   14.00    ,     .000    ,   -.7036E-03,   -.2111E-02,   -.3518E-02,   -.5629E-02,   -.7036E-02,   -.1030E-01,   -.1136E-01,   -.1191E-01
   16.00    ,     .000    ,   -.7497E-03,   -.2249E-02,   -.3748E-02,   -.5998E-02,   -.7497E-02,   -.1097E-01,   -.1210E-01,   -.1269E-01
   18.00    ,     .000    ,   -.7604E-03,   -.2281E-02,   -.3802E-02,   -.6083E-02,   -.7604E-02,   -.1113E-01,   -.1228E-01,   -.1287E-01
   19.00    ,     .000    ,   -.7356E-03,   -.2207E-02,   -.3678E-02,   -.5885E-02,   -.7356E-02,   -.1076E-01,   -.1188E-01,   -.1245E-01
   20.00    ,     .000    ,   -.6326E-03,   -.1898E-02,   -.3163E-02,   -.5061E-02,   -.6326E-02,   -.9257E-02,   -.1021E-01,   -.1071E-01
   25.00    ,     .000    ,    .1234E-03,    .3702E-03,    .6171E-03,    .9873E-03,    .1234E-02,    .1806E-02,    .1992E-02,    .2089E-02

Plain flap aileron
DeltaAil, Cl
    .000    ,     .000    
   2.000    ,    .4348E-02
   6.000    ,    .1304E-01
   10.00    ,    .2174E-01
   16.00    ,    .3478E-01
   20.00    ,    .4348E-01
   30.00    ,    .6364E-01
   40.00    ,    .7059E-01
   50.00    ,    .7396E-01

*****************************
Elevator terms
*****************************
Cd_Elev
Alpha, DeltaElev
            ,   -20.00    ,   -10.00    ,   -5.000    ,   -1.000    ,     .000    ,    1.000    ,    5.000    ,    10.00    ,    20.00    
  -2.000    ,    .3534E-02,    .1655E-02,    .5376E-03,    .6117E-04,   -.4946E-06,   -.3799E-04,    .4187E-04,    .6632E-03,    .2002E-02
  -1.000    ,    .3137E-02,    .1398E-02,    .4090E-03,    .3544E-04,   -.2374E-06,   -.1226E-04,    .1705E-03,    .9205E-03,    .2400E-02
    .000    ,    .2743E-02,    .1142E-02,    .2815E-03,    .9930E-05,    .1776E-07,    .1325E-04,    .2980E-03,    .1176E-02,    .2794E-02
   1.000    ,    .2351E-02,    .8889E-03,    .1547E-03,   -.1542E-04,    .2713E-06,    .3860E-04,    .4248E-03,    .1429E-02,    .3186E-02
   2.000    ,    .1960E-02,    .6362E-03,    .2834E-04,   -.4069E-04,    .5240E-06,    .6387E-04,    .5512E-03,    .1682E-02,    .3576E-02
